"도시별","지출목적별","시점","소비자물가지수[기준년도 2020년]",
"전국","05 가정용품 및 가사 서비스","2009 년","82.894",
"전국","05 가정용품 및 가사 서비스","2010 년","83.185",
"전국","05 가정용품 및 가사 서비스","2011 년","86.269",
"전국","05 가정용품 및 가사 서비스","2012 년","88.743",
"전국","05 가정용품 및 가사 서비스","2013 년","88.98",
"전국","05 가정용품 및 가사 서비스","2014 년","90.872",
"전국","05 가정용품 및 가사 서비스","2015 년","93.225",
"전국","05 가정용품 및 가사 서비스","2016 년","94.673",
"전국","05 가정용품 및 가사 서비스","2017 년","95.712",
"전국","05 가정용품 및 가사 서비스","2018 년","97.875",
"전국","05 가정용품 및 가사 서비스","2019 년","99.967",
"전국","05 가정용품 및 가사 서비스","2020 년","100",
"전국","05 가정용품 및 가사 서비스","2021 년","101.87",
"전국","05 가정용품 및 가사 서비스","2022 년","106.78",
"전국","05 가정용품 및 가사 서비스","2023 년","112.56",
"전국","06 보건","1985 년","36.279",
"전국","06 보건","1986 년","37.654",
"전국","06 보건","1987 년","38.951",
"전국","06 보건","1988 년","41.678",
"전국","06 보건","1989 년","42.927",
"전국","06 보건","1990 년","46.125",
"전국","06 보건","1991 년","49.061",
"전국","06 보건","1992 년","50.618",
"전국","06 보건","1993 년","52.047",
"전국","06 보건","1994 년","53.901",
"전국","06 보건","1995 년","56.846",
"전국","06 보건","1996 년","59.461",
"전국","06 보건","1997 년","61.915",
"전국","06 보건","1998 년","65.183",
"전국","06 보건","1999 년","66.14",
"전국","06 보건","2000 년","71",
"전국","06 보건","2001 년","79.076",
"전국","06 보건","2002 년","78.644",
"전국","06 보건","2003 년","80.401",
"전국","06 보건","2004 년","81.555",
"전국","06 보건","2005 년","83.36",
"전국","06 보건","2006 년","85",
"전국","06 보건","2007 년","86.48",
"전국","06 보건","2008 년","88.147",
"전국","06 보건","2009 년","90.064",
"전국","06 보건","2010 년","91.64",
"전국","06 보건","2011 년","93.252",
"전국","06 보건","2012 년","94.106",
"전국","06 보건","2013 년","94.443",
"전국","06 보건","2014 년","95.108",
"전국","06 보건","2015 년","96.298",
"전국","06 보건","2016 년","97.247",
"전국","06 보건","2017 년","98.109",
"전국","06 보건","2018 년","98.058",
"전국","06 보건","2019 년","98.516",
"전국","06 보건","2020 년","100",
"전국","06 보건","2021 년","99.92",
